Element,Upper Continental Crust,Bulk Continental Crust,Lower Continental Crust
"Li, ppm",20,13,11
"Be, ppm",3,1.5,1
"B, ppm",15,10,8.3
"Na, wt. %",2.89,2.3,2.08
"Mg, wt. %",1.33,3.2,3.8
"Al, wt. %",8.04,8.41,8.52
"Si, wt. %",30.8,26.8,25.4
"P, ppm",700,,
"K, wt. %",2.8,0.91,0.28
"Ca, wt. %",3,5.29,6.07
"Sc, ppm",11,30,36
"Ti, wt. %",0.3,0.54,0.6
"V, ppm",60,230,285
"Cr, ppm",35,185,235
"Mn, ppm",600,1400,1700
"Fe, wt. %",3.5,7.07,8.24
"Co, ppm",10,29,35
"Ni, ppm",20,105,135
"Cu, ppm",25,75,90
"Zn, ppm",71,80,83
"Ga, ppm",17,18,18
"Ge, ppm",1.6,1.6,1.6
"As, ppm",1.5,1,0.8
"Se, ppm",50,50,50
"Rb, ppm",112,32,5.3
"Sr, ppm",350,260,230
"Y, ppm",22,20,19
"Zr, ppm",190,100,70
"Nb, ppm",25,11,6
"Mo, ppm",1.5,1,0.8
"Pd, ppb",0.5,1,1
"Ag, ppb",50,80,90
"Cd, ppb",98,98,98
"In, ppb",50,50,50
"Sn, ppm",5.5,2.5,1.5
"Sb, ppm",0.2,0.2,0.2
"Cs, ppm",3.7,1,0.1
"Ba, ppm",550,250,150
"La, ppm",30,16,11
"Ce, ppm",64,33,23
"Pr, ppm",7.1,3.9,2.8
"Nd, ppm",26,16,12.7
"Sm, ppm",4.5,3.5,3.17
"Eu, ppm",0.88,1.1,1.17
"Gd, ppm",3.8,3.3,3.13
"Tb, ppm",0.64,0.6,0.59
"Dy, ppm",3.5,3.7,3.6
"Ho, ppm",0.8,0.78,0.77
"Er, ppm",2.3,2.2,2.2
"Tm, ppm",0.33,0.32,0.32
"Yb, ppm",2.2,2.2,2.2
"Lu, ppm",0.32,0.3,0.29
"Hf, ppm",5.8,3,2.1
"Ta, ppm",2.2,1,0.6
"W, ppm",2,1,0.7
"Re, ppb",0.4,0.4,0.4
"Os, ppb",0.05,0.05,0.05
"Ir, ppb",0.02,0.1,0.13
"Au, ppb",1.8,3,3.4
"Tl, ppb",750,360,230
"Pb, ppm",20,8,4
"Bi, ppb",127,60,38
"Th, ppm",10.7,3.5,1.06
"U, ppm",2.8,0.91,0.28
